industry_id,num_firms,dataset_code,vintage_id,region_id
1,52,margins,1,1
2,79,margins,1,1
3,23,margins,1,1
4,35,margins,1,1
5,33,margins,1,1
6,35,margins,1,1
7,15,margins,1,1
8,568,margins,1,1
9,14,margins,1,1
10,27,margins,1,1
11,24,margins,1,1
12,32,margins,1,1
13,41,margins,1,1
14,155,margins,1,1
15,9,margins,1,1
16,29,margins,1,1
17,4,margins,1,1
18,59,margins,1,1
19,16,margins,1,1
20,64,margins,1,1
21,36,margins,1,1
22,40,margins,1,1
23,20,margins,1,1
24,496,margins,1,1
25,228,margins,1,1
26,32,margins,1,1
27,112,margins,1,1
28,8,margins,1,1
29,114,margins,1,1
30,48,margins,1,1
31,92,margins,1,1
32,53,margins,1,1
33,35,margins,1,1
34,176,margins,1,1
35,78,margins,1,1
36,13,margins,1,1
37,27,margins,1,1
38,15,margins,1,1
40,204,margins,1,1
41,104,margins,1,1
39,115,margins,1,1
42,30,margins,1,1
43,31,margins,1,1
44,63,margins,1,1
45,110,margins,1,1
46,15,margins,1,1
47,21,margins,1,1
48,20,margins,1,1
49,57,margins,1,1
50,283,margins,1,1
51,105,margins,1,1
52,73,margins,1,1
53,14,margins,1,1
54,4,margins,1,1
55,142,margins,1,1
56,23,margins,1,1
57,97,margins,1,1
58,19,margins,1,1
59,6,margins,1,1
60,46,margins,1,1
61,56,margins,1,1
62,19,margins,1,1
63,190,margins,1,1
64,14,margins,1,1
65,12,margins,1,1
66,54,margins,1,1
67,49,margins,1,1
68,1,margins,1,1
69,64,margins,1,1
70,34,margins,1,1
71,14,margins,1,1
72,62,margins,1,1
73,23,margins,1,1
74,15,margins,1,1
75,26,margins,1,1
76,94,margins,1,1
77,3,margins,1,1
78,66,margins,1,1
79,31,margins,1,1
80,8,margins,1,1
81,11,margins,1,1
82,77,margins,1,1
83,29,margins,1,1
84,309,margins,1,1
85,19,margins,1,1
86,12,margins,1,1
87,57,margins,1,1
88,39,margins,1,1
89,10,margins,1,1
90,19,margins,1,1
91,4,margins,1,1
92,26,margins,1,1
93,14,margins,1,1
94,14,margins,1,1
1,52,rnd,1,1
2,79,rnd,1,1
3,23,rnd,1,1
4,35,rnd,1,1
5,33,rnd,1,1
6,35,rnd,1,1
7,15,rnd,1,1
8,568,rnd,1,1
9,14,rnd,1,1
10,27,rnd,1,1
11,24,rnd,1,1
12,32,rnd,1,1
13,41,rnd,1,1
14,155,rnd,1,1
15,9,rnd,1,1
16,29,rnd,1,1
17,4,rnd,1,1
18,59,rnd,1,1
19,16,rnd,1,1
20,64,rnd,1,1
21,36,rnd,1,1
22,40,rnd,1,1
23,20,rnd,1,1
24,496,rnd,1,1
25,228,rnd,1,1
26,32,rnd,1,1
27,112,rnd,1,1
28,8,rnd,1,1
29,114,rnd,1,1
30,48,rnd,1,1
31,92,rnd,1,1
